# level,theme,typeCount,slotCapacity,threeStarSeconds,twoStarSeconds,clearReward,layers
# v9 progression: staged theme unlocks; slower icon-type ramp; level 120+ supports 4 layers; level 360+ supports 5 layers
1,Food,3,7,0,0,30,Grid@0:0:1
2,Food,3,7,60,120,30,MiniBar12@0:0:1
3,Food,3,7,85,170,28,Custom:...XX/XXXX./XXXX./XXXXX@0:0:1|LayerCrown15@0.5:0.5:0.94
4,Food,3,7,85,170,28,Custom:X...../XXXX../XXXXX./.XXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.94
5,Food,3,7,86,172,28,Custom:XXX../XXXX./.XXX./XXXXX@0:0:1|LayerCap18@0.5:0.5:0.94
6,Food,3,7,86,172,28,Custom:...X/..XX/XXXX/XXXX/XXXX@0:0:1|LayerPillar12@0.5:0.5:0.94
7,Food,3,7,86,172,28,Custom:XX../.XX./XXX./XXXX/XXXX@0:0:1|LayerCross15@0.5:0.5:0.94
8,Food,3,7,86,172,29,Custom:.XX../.XXXX/.XXXX/XXXXX@0:0:1|LayerStagger9@0.5:0.5:0.94
9,Food,3,7,86,172,29,Custom:XX.../XX..X/XXXXX/XXXXX@0:0:1|LayerOffset12@0.5:0.5:0.94
10,Food,3,7,99,198,29,Custom:.XXX./.XX.X/.X.XX/.XX../XXXX.@0:0:1|LayerBlock9@0.5:0.5:0.94
11,Plant,3,7,87,174,29,Custom:...X../..XX../XXXXXX/XXXXXX@0:0:1|LayerLine12@0.5:0.5:0.94
12,Animal,3,7,87,174,29,Custom:.XX./XXX./.XXX/XXXX/.XXX@0:0:1|LayerCorners12@0.5:0.5:0.94
13,Food,3,7,93,186,29,Custom:..XXX/.XXXX/XXXXX/X.XXX/...XX@0:0:1|LayerCrown15@0.5:0.5:0.93
14,Plant,3,7,94,188,29,Custom:..XXX./XXXXXX/..XXXX/.XXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.93
15,Animal,3,7,94,188,29,Custom:XX../XXXX/XXXX/XXXX/XXXX@0:0:1|LayerCap18@0.5:0.5:0.93
16,Food,3,7,94,188,30,SmallHeart18@0:0:1|LayerPillar12@0.5:0.5:0.93
17,Plant,3,7,94,188,30,Custom:..XX../.XXXX./XXXXXX/XXXXXX@0:0:1|LayerCross15@0.5:0.5:0.93
18,Animal,3,7,94,188,30,Custom:XXXX./XXX.X/XXXXX/XXXXX@0:0:1|LayerStagger9@0.5:0.5:0.93|LayerPillar12@0.5:0.5:0.64
19,Food,3,7,95,190,30,Custom:.....X/.XXXXX/XXXXXX/XXXXXX@0:0:1|LayerOffset12@0.5:0.5:0.93|LayerStagger9@0.5:0.5:0.64
20,Plant,3,7,132,264,30,Custom:..X.X./..XXXX/XXXXXX/X..XXX/....XX@0:0:1|LayerBlock9@0.5:0.5:0.93|LayerStagger9@0.5:0.5:0.62
21,Animal,3,7,95,190,30,Custom:...XX/...XX/XX.XX/XXXXX/XXXXX@0:0:1|LayerLine12@0.5:0.5:0.93|LayerMiniDiamond9@0.5:0.5:0.64
22,Food,3,7,95,190,30,Custom:..XX.X/..XXXX/.XXXXX/XXXXXX@0:0:1|LayerCorners12@0.5:0.5:0.93|LayerDiagonal6@0.5:0.5:0.64
23,Plant,3,7,96,192,30,Custom:XX..../XXXX../XXXXXX/XXXXXX@0:0:1|LayerCrown15@0.5:0.5:0.93|LayerLine12@0.5:0.5:0.64
24,Animal,3,7,121,242,31,Custom:XX.X./XXXXX/XXXXX/XXXXX@0:0:1|LayerDiamond15@0.5:0.5:0.93|LayerPillar12@0.5:0.5:0.62
25,Food,4,7,121,242,51,Custom:XXXXX./XXX.X./X..XXX/X.XXXX@0:0:1|LayerCap18@0.5:0.5:0.93|LayerDiagonal6@0.5:0.5:0.62
26,Plant,4,7,96,192,31,Custom:....X./X..XXX/XXXXX./.XXX../XXXXX.@0:0:1|LayerPillar12@0.5:0.5:0.93|LayerOffset12@0.5:0.5:0.64
27,Animal,4,7,96,192,31,Custom:..XX./XXXX./XX..X/X.XXX/XXXXX@0:0:1|LayerCross15@0.5:0.5:0.93|LayerDiamond15@0.5:0.5:0.64
28,Food,4,7,122,244,31,Custom:...X./.X.X./XXXXX/XXXXX/XXXXX@0:0:1|LayerStagger9@0.5:0.5:0.93|LayerMiniDiamond9@0.5:0.5:0.62
